Time_s,Output
0,0
0.001001,0.434862145575964
0.002001,0.0060140948706022
0.003002,6.00347560895306e-05
0.004002,4.90835382717658e-07
0.005003,2.12149292589444e-09
0.006003,-2.21124306516697e-11
0.007004,-9.25085172898659e-13
0.008004,-1.8865331677639e-14
0.009005,-3.25210340246633e-16
0.010005,-5.00278975700463e-18
0.011006,-7.27678473632907e-20
0.012006,-1.00485478756711e-21
0.013007,-1.33614454674267e-23
0.014007,-1.71870062550955e-25
0.015008,-2.13114585753218e-27
0.016008,-2.57141170626146e-29
0.017009,-2.96595733662096e-31
0.018009,-3.31572995961459e-33
0.01901,-3.45733677980943e-35
0.02001,-3.39866791102953e-37
0.021011,-2.84098876335023e-39
0.022011,-1.80515282823812e-41
0.023012,1.83595085337641e-44
0.024012,3.08343593004269e-45
0.025013,7.5524254159099e-47
0.026013,1.35191190433659e-48
0.027014,2.17458583552369e-50
0.028014,3.21258719412856e-52
0.029015,4.52755671961922e-54
0.030015,6.10574636874641e-56
0.031016,7.94015984058291e-58
0.032016,1.00167429027768e-59
0.033017,1.21627753414001e-61
0.034017,1.43708832385912e-63
0.035018,1.61506552362739e-65
0.036018,1.75151088530853e-67
0.037019,1.74491122266057e-69
0.038019,1.60091300976012e-71
0.03902,1.14219033977767e-73
0.04002,3.82126765617565e-76
0.041021,-9.49918477853408e-78
0.042021,-2.82854466992423e-79
0.043022,-5.61153715453588e-81
0.044022,-9.25727125285088e-83
0.045023,-1.41493376306564e-84
0.046023,-2.02280876138273e-86
0.047024,-2.77378519382275e-88
0.048024,-3.66060511998776e-90
0.049025,-4.66039870203696e-92
0.050025,-5.76655633038717e-94
0.051026,-6.85154475731553e-96
0.052026,-7.91385188867359e-98
0.053027,-8.63506834805852e-100
0.054027,-9.02706494867365e-102
0.055028,-8.46873911644187e-104
0.056028,-6.99871555328197e-106
0.057029,-3.57734151499237e-108
0.058029,1.71115462058387e-110
0.05903,1.03895048150271e-111
0.06003,2.23054766411143e-113
0.061031,3.93685685406655e-115
0.062031,6.13392313725868e-117
0.063032,9.00713500273739e-119
0.064032,1.25236586143133e-120
0.065033,1.6757065254304e-122
0.066033,2.16699765407979e-124
0.067034,2.70210242045612e-126
0.068034,3.27813889463867e-128
0.069035,3.80600049405364e-130
0.070035,4.2864428721785e-132
0.071036,4.51713266925165e-134
0.072036,4.50740483785315e-136
0.073037,3.88248870334318e-138
0.074037,2.66795746914927e-140
0.075038,2.61683035955841e-143
0.076038,-3.28420925133508e-144
0.077039,-8.81447607671731e-146
0.078039,-1.62390296335452e-147
0.07904,-2.65545757291562e-149
0.08004,-3.96249845378074e-151
0.081041,-5.62946786027228e-153
0.082041,-7.63859031827467e-155
0.083042,-9.99203948334873e-157
0.084042,-1.26711701026204e-158
0.085043,-1.54739315419895e-160
0.086043,-1.83893967994899e-162
0.087044,-2.0818307426274e-164
0.088044,-2.27745698727833e-166
0.089045,-2.29955151200008e-168
0.090045,-2.15489913064188e-170
0.091046,-1.62028279825554e-172
0.092046,-7.12212594341216e-175
0.093047,9.13738526480398e-177
0.094047,3.22578986972327e-178
0.095048,6.68532978188499e-180
0.096048,1.12396983626513e-181
0.097049,1.73948732036848e-183
0.098049,2.5074518016712e-185
0.09905,3.46269620956282e-187
0.10005,4.59578153394779e-189
0.101051,5.88419617140285e-191
0.102051,7.31903885401668e-193
0.103052,8.74815799539302e-195
0.104052,1.01686893835615e-196
0.105053,1.11889780122035e-198
0.106053,1.18225771739054e-200
0.107054,1.12938600427698e-202
0.108054,9.64973428520836e-205
0.109055,5.57715145869328e-207
0.110055,-8.19466796803733e-210
0.111056,-1.14850197061024e-210
0.112056,-2.62283661471039e-212
0.113057,-4.75250343997462e-214
0.114057,-7.50709555720935e-216
0.115058,-1.11341671516655e-217
0.116058,-1.55915242565149e-219
0.117059,-2.09957430255326e-221
0.118059,-2.72978588329286e-223
0.11906,-3.42294571854501e-225
0.12006,-4.17507678405536e-227
0.121061,-4.87850727925042e-229
0.122061,-5.53363399916664e-231
0.123062,-5.89023050160346e-233
0.124062,-5.95928009948435e-235
0.125063,-5.27106560063128e-237
0.126063,-3.85689109556661e-239
0.127064,-9.53770278030745e-242
0.128064,3.37339541514826e-243
0.129065,1.02078088303389e-244
0.130065,1.94359753343424e-246
0.131066,3.23584049551853e-248
0.132066,4.88017044213468e-250
0.133067,6.99146888502155e-252
0.134067,9.54678521312866e-254
0.135068,1.25627721023682e-255
0.136068,1.60147710963124e-257
0.137069,1.96681529906463e-259
0.138069,2.35070904690395e-261
0.13907,2.68008255681358e-263
0.14007,2.95637042775709e-265
0.141071,3.02269553635534e-267
0.142071,2.88718149927576e-269
0.143072,2.26909753655508e-271
0.144072,1.18878041016111e-273
0.145073,-7.91689451802233e-276
0.146073,-3.63258822265974e-277
0.147074,-7.92814080150189e-279
0.148074,-1.36117857175583e-280
0.149075,-2.13491709864829e-282
0.150075,-3.104270611394e-284
0.151076,-4.31821464077e-286
0.152076,-5.76449437410663e-288
0.153077,-7.4227544292481e-290
0.154077,-9.28106342315976e-292
0.155078,-1.11586976003401e-293
0.156078,-1.30508368579301e-295
0.157079,-1.44765207550856e-297
0.158079,-1.54510332054041e-299
0.15908,-1.50067778600448e-301
0.16008,-1.32005772249266e-303
0.161081,-8.37556574277251e-306
0.162081,-6.61036096444659e-309
0.163082,1.24246388682564e-309
0.164082,3.06416833470894e-311
0.165083,5.71941982089676e-313
0.166083,9.16544101998392e-315
0.167084,1.35971766866718e-316
0.168084,-2.36104090834615e-319
0.169085,-2.57091999469951e-318
0.170085,-2.4521910793474e-318
0.171086,-2.34005794036727e-318
0.172086,-2.23385358913724e-318
0.173087,1.68818278658787e-318
0.174087,1.62922099241318e-318
0.175088,1.55288785013071e-318
0.176088,1.48105070522539e-318
0.177089,1.41308703498347e-318
0.178089,1.34909071187765e-318
0.17909,1.28817735840188e-318
0.18009,1.23096949726992e-318
0.181091,-7.31157867967544e-319
0.182091,-6.96247189432401e-319
0.183092,-6.62581556324779e-319
0.184092,-6.30136265362384e-319
0.185093,-6.00018023591902e-319
0.186093,-5.71816756527284e-319
0.187094,-5.4453445156393e-319
0.188094,-5.19149358680607e-319
0.189095,-4.95108124353972e-319
0.190095,-4.72361342019441e-319
0.191096,-4.50839842486596e-319
0.192096,-4.30509041160229e-319
0.193097,-4.11280006224087e-319
0.194097,-3.93538108881928e-319
0.195098,-3.76453318848738e-319
0.196098,-3.60341838137855e-319
0.197099,-3.44847939484273e-319
